id,intensity
A2019-EM-01-0001,159.28826324869792
A2019-EM-01-0003,115.99251040581596
A2019-EM-01-0011,153.533184906684
A2019-EM-01-0028,118.41647562934027
A2019-EM-01-0040,118.91374945746529
A2019-EM-01-0057,116.77273040364584
A2019-EM-01-0062,155.087848046875
A2019-EM-01-0077,157.01282351345486
A2019-EM-01-0085,158.66641233723956
A2019-EM-01-0086,117.64929554036458
A2019-EM-01-0088,159.43701149088545
A2019-EM-01-0090,160.32006963975692
A2019-EM-01-0120,120.0455068467882
A2019-EM-01-0122,162.39346628689236
A2019-EM-01-0129,121.97490265842013
A2019-EM-01-0143,151.41981827256944
A2019-EM-01-0146,117.74962827690972
A2019-EM-01-0148,149.84455582682293
A2019-EM-01-0155,159.06227586805554
A2019-EM-01-0163,152.47305097656252
A2019-EM-01-0174,118.60720172526041
A2019-EM-01-0176,119.81720200737848
A2019-EM-01-0177,118.6519183376736
A2019-EM-01-0183,149.412217328559
A2019-EM-01-0188,157.20296557074653
A2020-EM-01-0002,119.71293886718748
A2020-EM-01-0033,154.19011338975693
A2020-EM-01-0057,169.99534620225694
A2020-EM-01-0058,151.1588181857639
A2020-EM-01-0061,152.67378049045138
A2020-EM-01-0066,160.9587211154514
A2020-EM-01-0078,157.0860142686632
A2020-EM-01-0083,171.6966258138021
A2020-EM-01-0084,117.34185193142362
A2020-EM-01-0085,120.5520632703993
A2020-EM-01-0096,118.36509153645835
A2020-EM-01-0099,114.48475423177084
A2020-EM-01-0104,117.30885041232638
A2020-EM-01-0115,119.78222518446178
A2020-EM-01-0136,119.98407136501737
A2020-EM-01-0137,117.65120205078124
A2020-EM-01-0172,160.79536610243056
A2020-EM-01-0180,151.83855266927083
A2020-EM-01-0185,120.12925491536458
A2020-EM-01-0192,118.81179683159722
A2020-EM-01-0202,159.00610915798612
A2020-EM-01-0208,118.0851357421875
A2020-EM-01-0213,120.52572913411458
A2020-EM-01-0229,117.39630290798613
A2020-EM-01-0231,119.93789031032985
A2020-EM-01-0239,118.45777937282985
A2020-EM-01-0241,154.83046184895832
A2020-EM-01-0244,155.30177406684027
A2020-EM-01-0250,118.67138929036459
A2020-EM-01-0254,118.98864430338541
A2020-EM-01-0257,117.34363257378473
A2020-EM-01-0260,120.21434740668403
A2020-EM-01-0267,119.30138043619795
A2020-EM-01-0280,175.77989671223958
A2021-EM-01-0009,158.2340794596354
A2021-EM-01-0014,157.33357185329862
A2021-EM-01-0035,160.9756429253472
A2021-EM-01-0044,157.00686125217015
A2021-EM-01-0058,118.055709375
A2021-EM-01-0072,117.33803844401041
A2021-EM-01-0079,162.67362313368056
A2021-EM-01-0081,119.23815209418402
A2021-EM-01-0082,118.68469590928821
A2021-EM-01-0111,119.74404176432293
A2021-EM-01-0112,150.8554183485243
A2021-EM-01-0113,151.3299629123264
A2021-EM-01-0119,161.90450562065973
A2021-EM-01-0121,151.24246021050348
A2021-EM-01-0126,120.19047671440974
A2021-EM-01-0139,119.7620621527778
