Testing 1000 samples...
====================================================================================================
✅ A2019-EM-01-0113: Labels match (881 epochs, FPS=4.995)

✅ A2019-EM-01-0114: Labels match (866 epochs, FPS=4.995)

✅ A2019-EM-01-0115: Labels match (818 epochs, FPS=4.995)

✅ A2019-EM-01-0117: Labels match (940 epochs, FPS=4.995)

✅ A2019-EM-01-0118: Labels match (910 epochs, FPS=4.995)

✅ A2019-EM-01-0119: Labels match (862 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0120: Labels match (816 epochs, FPS=4.972222222222222)

✅ A2019-EM-01-0122: Labels match (868 epochs, FPS=4.995)

✅ A2019-EM-01-0123: Labels match (947 epochs, FPS=4.995)

✅ A2019-EM-01-0124: Labels match (922 epochs, FPS=4.972222222222222)

✅ A2019-EM-01-0125: Labels match (929 epochs, FPS=4.995)

✅ A2019-EM-01-0129: Labels match (722 epochs, FPS=5.0)

✅ A2019-EM-01-0138: Labels match (683 epochs, FPS=4.995)

✅ A2019-EM-01-0141: Labels match (678 epochs, FPS=4.944444444444445)

✅ A2019-EM-01-0142: Labels match (839 epochs, FPS=4.972222222222222)

✅ A2019-EM-01-0143: Labels match (858 epochs, FPS=4.995)

✅ A2019-EM-01-0144: Labels match (845 epochs, FPS=4.995)

✅ A2019-EM-01-0145: Labels match (879 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0146: Labels match (876 epochs, FPS=4.995)

✅ A2019-EM-01-0147: Labels match (869 epochs, FPS=4.995)

✅ A2019-EM-01-0148: Labels match (734 epochs, FPS=4.995)

✅ A2019-EM-01-0150: Labels match (672 epochs, FPS=4.995)

✅ A2019-EM-01-0151: Labels match (973 epochs, FPS=4.930555555555555)

✅ A2019-EM-01-0152: Labels match (832 epochs, FPS=4.995)

✅ A2019-EM-01-0153: Labels match (845 epochs, FPS=4.995)

✅ A2019-EM-01-0154: Labels match (798 epochs, FPS=4.995)

✅ A2019-EM-01-0155: Labels match (790 epochs, FPS=4.995)

✅ A2019-EM-01-0156: Labels match (821 epochs, FPS=4.995)

